vxs,vys,vzs
-0.233611224,7.743052128000001,-6.255826864000001
-0.9054470880000002,8.188837664000001,-5.4296214
-1.395734032,8.3230126,-5.540157560000001
-1.6223594239999999,8.148069272,-5.374973856
-1.7402663600000003,8.0956232,-5.601600032000001
-1.57077536,7.9276641360000015,-5.999150752
-1.0136873040000003,7.213910928,-6.25994208
-1.516416328,7.785449672000001,-6.202711256
-1.34836044,7.909671336,-5.849566688
-1.342332264,7.539588056,-6.2530511120000005
-1.4443522240000002,6.823441688000001,-6.656343064
-1.487034752,7.10930612,-6.179550328
-1.4110471200000003,6.9135930640000005,-7.1988847840000005
-1.4318144960000003,6.796739040000001,-7.297076080000001
-1.452774344,6.615574672000001,-6.585523560000001
-1.3858771920000001,6.800376408000001,-6.80841672
-1.1604007520000004,6.781905760000001,-6.703430104000001
-1.4615782720000001,6.867657328000001,-6.759989824000001
-1.4409053680000001,7.056956088,-6.755587664000001
-1.5780485280000003,6.993410536000001,-6.745731216000001
-1.2962981360000003,6.888041720000001,-6.539108016000001
-1.1900692720000001,6.896559096,-6.502644568
-1.4071220240000002,6.881341656000001,-6.800951863999999
-1.497466264,6.927279352000001,-6.973696072000001
-1.305007984,6.911966656000001,-7.009488416
-1.4728714000000003,6.267789528000001,-7.187495224000001
-1.5904913920000001,6.290757984000001,-7.388185112
-1.9266956800000001,6.431058704000001,-7.18854892
-1.5069412960000002,6.406176112000001,-7.192282328000001
-1.463300328,6.191034752000001,-7.331337664000001
-1.6522184560000002,6.036091656000001,-7.502263776
-1.5550792880000002,5.760849248,-7.576719864
-1.4142050720000001,4.2652963360000005,-8.837513384000001
-1.3336232000000001,3.783337040000001,-9.332491000000001
-0.9567426400000002,3.2664427040000006,-9.567344864000003
-1.0241196000000001,2.6129822320000002,-9.984802912000001
-1.106040544,3.115711256,-9.63960144
-1.339077488,4.661125,-8.753678304000001
-1.1875808559999999,5.158397776,-8.261093848000002
-0.145563712,5.860380008,-7.828707656000001
2.3073072960000003,6.1842406080000005,-8.007288744
