ax, ay, az, gx, gy, gz, rx, ry, rz, lat, long, alt, time, velocity
0.442139,0.038574,0.907715,0.229008,1.160305,-0.702290,2.131431,25.898338,-179.226654,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442139,0.038574,0.907715,0.442748,1.251908,-0.687023,2.241604,26.032024,-179.230301,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442383,0.031250,0.912598,0.412214,1.160305,-0.839695,2.075359,25.967115,-179.225708,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442383,0.031250,0.912598,0.259542,1.236641,-0.564885,1.907137,25.904587,-179.222122,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443604,0.038574,0.907959,0.305344,1.206107,-0.503817,1.905197,25.914005,-179.219696,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443604,0.038574,0.907959,0.305344,1.206107,-0.503817,1.905197,25.914005,-179.219696,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.443604,0.038574,0.907959,0.030534,1.190840,-0.961832,2.234411,26.057566,-179.219055,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445557,0.036377,0.911621,0.335878,1.099237,-0.854962,2.055539,26.042868,-179.216187,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445557,0.036377,0.911621,0.244275,0.854962,-0.778626,1.982880,26.148291,-179.217697,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442383,0.034180,0.915771,0.488550,1.297710,-0.793893,1.959561,25.978634,-179.209991,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442383,0.034180,0.915771,0.412214,1.160305,-1.022901,1.933270,25.811171,-179.201431,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.037842,0.911377,0.259542,0.992366,-0.778626,1.979679,25.804134,-179.197571,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.037842,0.911377,0.335878,1.221374,-0.778626,2.070039,25.946724,-179.200607,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.037842,0.911377,0.274809,1.389313,-1.007634,2.155795,26.092361,-179.203094,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439209,0.038574,0.909668,0.229008,1.175573,-0.916031,2.173963,25.922039,-179.193863,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.041504,0.909912,0.396947,1.251908,-0.870229,2.337694,25.850267,-179.186630,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.041504,0.909912,0.320611,1.206107,-0.824427,2.449798,25.992056,-179.190399,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.041504,0.909912,0.091603,1.282443,-0.870229,2.346220,25.854467,-179.181824,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.038086,0.910645,0.167939,1.221374,-0.748092,2.169405,25.820097,-179.178253,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.038086,0.910645,0.396947,1.282443,-0.870229,2.188442,25.812384,-179.173615,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444336,0.035400,0.913818,0.580153,1.251908,-0.900763,2.038235,25.901430,-179.174881,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444336,0.035400,0.913818,0.167939,1.175573,-0.717557,1.889241,25.999060,-179.176132,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.436279,0.033203,0.906494,0.427481,1.251908,-0.793893,1.940039,25.758049,-179.163681,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.436279,0.033203,0.906494,0.396947,1.435115,-0.900763,1.832118,25.626043,-179.156937,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.436279,0.033203,0.906494,0.442748,1.251908,-0.839695,1.942304,25.759888,-179.159286,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445557,0.038818,0.914062,0.488550,1.267176,-0.595420,2.073091,25.874281,-179.162201,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445557,0.038818,0.914062,0.137405,1.190840,-0.916031,2.199283,25.993805,-179.163818,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.037598,0.909668,0.000000,1.282443,-0.793893,2.196400,25.998018,-179.159210,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.445801,0.037598,0.909668,0.213740,1.007634,-0.519084,2.102513,26.140707,-179.163269,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444092,0.037354,0.911621,0.167939,1.145038,-0.885496,2.110957,25.971426,-179.154266,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444092,0.037354,0.911621,0.061069,1.099237,-0.687023,2.057313,26.006653,-179.153351,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.033936,0.913818,0.213740,1.145038,-0.793893,2.043383,25.831532,-179.141266,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.033936,0.913818,0.290076,1.541985,-0.793893,1.879613,25.761740,-179.136719,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.033936,0.913818,0.335878,1.190840,-0.870229,2.039612,25.849213,-179.137344,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444824,0.035645,0.916016,0.351145,1.419847,-0.778626,1.942255,25.990961,-179.140320,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.448242,0.038574,0.913086,0.045802,1.145038,-0.900763,2.110541,25.997936,-179.135361,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.448242,0.038574,0.913086,0.122137,1.007634,-0.916031,2.176958,26.152382,-179.138260,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.448242,0.038574,0.913086,0.137405,0.702290,-1.007634,2.093072,26.070679,-179.131897,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444580,0.037109,0.909912,0.488550,1.206107,-0.778626,2.119875,25.914328,-179.124344,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444580,0.037109,0.909912,0.503817,1.358779,-0.854962,2.093603,26.077454,-179.128403,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.038818,0.914551,0.320611,1.038168,-1.022901,2.169964,25.753662,-179.111618,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.439941,0.038818,0.914551,0.412214,1.251908,-0.946565,2.221393,25.592709,-179.102875,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442627,0.037842,0.914062,0.198473,1.083969,-0.885496,2.165651,25.749512,-179.106262,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.442627,0.037842,0.914062,0.152672,1.160305,-0.748092,2.107697,25.908306,-179.109985,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039795,0.914795,0.335878,1.236641,-0.625954,2.350618,25.765064,-179.101013,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039795,0.914795,0.381679,1.251908,-0.396947,2.171767,25.748720,-179.099823,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441406,0.039795,0.914795,0.290076,1.251908,-0.885496,2.355451,25.768009,-179.098083,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.042969,0.912109,0.351145,1.206107,-0.717557,2.534550,25.809288,-179.098083,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.440674,0.042969,0.912109,0.198473,1.190840,-0.412214,2.538233,25.814096,-179.094864,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.036377,0.909424,0.183206,1.145038,-0.916031,2.359076,25.833740,-179.092911,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.441162,0.036377,0.909424,0.335878,1.206107,-0.778626,2.180798,25.855740,-179.091782,40.449668,-79.949377,316.860000,1:54:29.0,0.020578
0.444092,0.039307,0.909912,0.412214,1.129771,-0.916031,2.226861,26.015816,-179.095596,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444092,0.039307,0.909912,0.167939,1.145038,-0.732824,2.315990,26.026314,-179.090942,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444336,0.038574,0.910156,0.366412,1.297710,-0.625954,2.136642,26.014814,-179.089096,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444336,0.038574,0.910156,0.183206,1.435115,-0.610687,2.318666,26.037050,-179.088303,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444336,0.038574,0.910156,0.213740,1.068702,-0.793893,2.140791,26.012609,-179.085037,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.443604,0.040039,0.909668,0.381679,1.267176,-0.748092,2.148486,26.015429,-179.080231,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.443604,0.040039,0.909668,0.442748,1.175573,-0.564885,2.330897,25.981392,-179.077805,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446289,0.039307,0.911865,0.290076,1.160305,-0.916031,2.196954,26.092327,-179.079636,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446289,0.039307,0.911865,0.229008,1.175573,-0.702290,2.330939,25.993235,-179.073730,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.439941,0.035645,0.912354,0.183206,1.053435,-0.564885,2.116269,25.940863,-179.068237,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.439941,0.035645,0.912354,0.229008,1.022901,-0.809160,2.041637,25.787321,-179.060242,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442871,0.034668,0.912109,0.320611,1.267176,-0.717557,1.938064,25.922609,-179.063141,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442871,0.034668,0.912109,0.274809,1.129771,-0.809160,2.042449,25.793871,-179.056351,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442871,0.034912,0.912354,0.167939,1.190840,-0.717557,2.060290,25.807350,-179.052750,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442871,0.034912,0.912354,0.473282,1.129771,-0.854962,1.934348,25.926085,-179.054840,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442871,0.034912,0.912354,0.320611,1.129771,-0.824427,2.062119,25.807695,-179.048431,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.440674,0.038330,0.915283,0.366412,1.206107,-0.732824,2.186987,25.679852,-179.041809,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.440674,0.038330,0.915283,0.198473,1.175573,-0.900763,2.186884,25.678347,-179.035629,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442383,0.036377,0.912109,0.320611,1.297710,-0.641221,2.091154,25.817707,-179.039307,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442383,0.036377,0.912109,0.381679,1.114504,-0.717557,1.996767,25.961912,-179.042755,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446045,0.035156,0.912354,0.244275,1.022901,-0.763359,1.971599,26.128071,-179.046387,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446045,0.035156,0.912354,0.335878,1.404580,-0.671756,1.996454,25.962164,-179.038956,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446045,0.035156,0.912354,0.152672,1.282443,-0.671756,1.971283,26.127209,-179.042755,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.439697,0.033203,0.910889,0.320611,1.190840,-0.763359,1.891216,25.796532,-179.027115,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.439697,0.033203,0.910889,0.290076,1.297710,-0.732824,1.836132,25.647495,-179.020264,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.445557,0.040771,0.910400,0.274809,1.114504,-0.687023,1.966943,25.761349,-179.022217,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.445557,0.040771,0.910400,0.381679,0.977099,-0.534351,2.096653,25.877386,-179.025238,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444336,0.039551,0.915527,0.274809,1.099237,-0.625954,2.103016,25.883316,-179.021057,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.444336,0.039551,0.915527,0.244275,1.053435,-0.992366,2.288460,25.887407,-179.018234,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442627,0.040527,0.910156,0.335878,1.160305,-0.870229,2.305496,26.057594,-179.022751,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.442627,0.040527,0.910156,0.213740,1.328244,-0.748092,2.290127,25.889381,-179.013855,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.441895,0.036133,0.912109,0.381679,1.175573,-0.687023,2.168402,25.945093,-179.011856,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.441895,0.036133,0.912109,0.366412,1.175573,-0.763359,2.032475,25.835892,-179.005890,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.441895,0.036133,0.912109,0.381679,1.282443,-0.961832,2.135242,25.983946,-179.008713,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.438721,0.034668,0.911133,0.198473,1.053435,-0.671756,1.954728,25.692497,-178.994049,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.438721,0.034668,0.911133,0.351145,1.236641,-0.854962,2.028922,25.855108,-178.997452,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
0.446777,0.037354,0.913086,0.473282,1.190840,-0.732824,2.087249,26.011339,-179.001465,40.449667,-79.949384,316.880000,1:54:30.0,0.020578
